"KO","Definition","Symbol","Name","Stress","Notes"
"K00033","PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","PGD, gnd, gntZ"," 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Oxidative",NA
"K17222","soxA; L-cysteine S-thiosulfotransferase [EC:2.8.5.2]","soxA"," L-cysteine S-thiosulfotransferase [EC:2.8.5.2]","High pH","High pH/sulfur oxide -Inorganic sulfur compounds can serve as energy sources for specialized prokaryotes in high pH and high saline systems"
"K17224","soxB; S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20]","soxB"," S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20]","High pH","High pH/sulfur oxide -Inorganic sulfur compounds can serve as energy sources for specialized prokaryotes in high pH and high saline systems"
"K17225","soxC; sulfane dehydrogenase subunit SoxC","soxC"," sulfane dehydrogenase subunit SoxC","High pH","High pH/sulfur oxide -Inorganic sulfur compounds can serve as energy sources for specialized prokaryotes in high pH and high saline systems"
"K17226","soxY; sulfur-oxidizing protein SoxY","soxY"," sulfur-oxidizing protein SoxY","High pH","High pH/sulfur oxide -Inorganic sulfur compounds can serve as energy sources for specialized prokaryotes in high pH and high saline systems"
"K17227","soxZ; sulfur-oxidizing protein SoxZ","soxZ"," sulfur-oxidizing protein SoxZ","Sulfer-oxidizing protein",NA
"K17229","fccB; sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]","fccB"," sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]","Sulfer metabolizing",NA
"K17486","dmdA; dimethylsulfoniopropionate demethylase [EC:2.1.1.269]","dmdA"," dimethylsulfoniopropionate demethylase [EC:2.1.1.269]","Osmotic",NA
"K18532","AK6, FAP7; adenylate kinase [EC:2.7.4.3]","AK6, FAP7"," adenylate kinase [EC:2.7.4.3]","Oxidative",NA
"K18655","DDX19, DBP5; ATP-dependent RNA helicase DDX19/DBP5 [EC:3.6.4.13]","DDX19, DBP5"," ATP-dependent RNA helicase DDX19/DBP5 [EC:3.6.4.13]","General",NA
"K18857","ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]","ADH1"," alcohol dehydrogenase class-P [EC:1.1.1.1]","Oxidative",NA
"K19691","NIK1, TCSC; osomolarity two-component system, sensor histidine kinase NIK1 [EC:2.7.13.3]","NIK1, TCSC"," osomolarity two-component system, sensor histidine kinase NIK1 [EC:2.7.13.3]","Oxidative",NA
"K19786","IPK1; inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]","IPK1"," inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]","Cold",NA
"K19788","OLA1; obg-like ATPase 1","OLA1"," obg-like ATPase 1","Oxidative",NA
"K19791","FET3_5; iron transport multicopper oxidase","FET3_5"," iron transport multicopper oxidase","Oxidative",NA
"K19800","SCH9; serine/threonine protein kinase SCH9 [EC:2.7.11.1]","SCH9"," serine/threonine protein kinase SCH9 [EC:2.7.11.1]","General",NA
"K20059","LDB19, ART1; arrestin-related trafficking adapter 1","LDB19, ART1"," arrestin-related trafficking adapter 1","Osmotic",NA
"K20063","RIM8, ART9; arrestin-related trafficking adapter 9","RIM8, ART9"," arrestin-related trafficking adapter 9","pH",NA
"K20221","IPO4, RANBP4; importin-4","IPO4, RANBP4"," importin-4","Oxidative",NA
"K20367","ERGIC3, ERV46; endoplasmic reticulum-Golgi intermediate compartment protein 3","ERGIC3, ERV46"," endoplasmic reticulum-Golgi intermediate compartment protein 3","pH",NA
"K21633","CZF1; zinc cluster transcription factor CZF1","CZF1"," zinc cluster transcription factor CZF1","Oxidative",NA
"K22211","GLX3, HSP31; D-lactate dehydratase [EC:4.2.1.130]","GLX3, HSP31"," D-lactate dehydratase [EC:4.2.1.130]","Oxidative",NA
"K22684","MCA1; metacaspase-1 [EC:3.4.22.-]","MCA1"," metacaspase-1 [EC:3.4.22.-]","General",NA
"K23856","GPX; peroxiredoxin [EC:1.11.1.24]","GPX"," peroxiredoxin [EC:1.11.1.24]","Oxidative",NA
"K23994","SLC9B1_2; solute carrier family 9B (sodium/hydrogen exchanger), member 1/2","SLC9B1_2"," solute carrier family 9B (sodium/hydrogen exchanger), member 1/2","Osmotic",NA
"K24139","PILS, ECM3; auxin efflux carrier family protein","PILS, ECM3"," auxin efflux carrier family protein","Osmotic",NA
"K24160","NHA1, SOD2; sodium/hydrogen antiporter","NHA1, SOD2"," sodium/hydrogen antiporter","Osmotic",NA
"K24935","TTC27; tetratricopeptide repeat protein 27","TTC27"," tetratricopeptide repeat protein 27","General",NA
"K25817","MAF1; repressor of RNA polymerase III transcription MAF1","MAF1"," repressor of RNA polymerase III transcription MAF1","General",NA
"K25860","PACC1; proton-activated chloride channel","PACC1"," proton-activated chloride channel","pH neutral to alkaline","ThreeCys2His2 zinc finger transcription factor that mediateschanges in gene expression in response to neutral or alkaline pH."
"K26089","ANKZF1, VMS1; ankyrin repeat and zinc finger domain-containing protein 1","ANKZF1, VMS1"," ankyrin repeat and zinc finger domain-containing protein 1","General",NA
"K26216","AHSA1, AHA1; activator of Hsp90 ATPase protein 1","AHSA1, AHA1"," activator of Hsp90 ATPase protein 1","General",NA
"K00020","HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","HIBADH, mmsB"," 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","Heat",NA
"K00190","PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","PGD, gnd, gntZ"," 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Heat",NA
"K00564","rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]","rsmC"," 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]","Heat",NA
"K02060","PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","PGD, gnd, gntZ"," 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Heat",NA
"K04110","badA; benzoate-CoA ligase [EC:6.2.1.25]","badA"," benzoate-CoA ligase [EC:6.2.1.25]","Heat",NA
"K04213","OPRD1; delta-type opioid receptor","OPRD1"," delta-type opioid receptor","Heat",NA
"K04920","KCNK10, K2P10.1; potassium channel subfamily K member 10","KCNK10, K2P10.1"," potassium channel subfamily K member 10","Heat",NA
