"V1","KO","n","Definition"
"KO:K03164","K03164",1193,"TOP2; DNA topoisomerase II [EC:5.6.2.2]"
"KO:K01519","K01519",44,"rdgB, ITPA; XTP/dITP diphosphohydrolase [EC:3.6.1.66]"
"KO:K01736","K01736",44,"aroC; chorismate synthase [EC:4.2.3.5]"
"KO:K02146","K02146",44,"ATPeV0D, ATP6D; V-type H+-transporting ATPase subunit d"
"KO:K02202","K02202",44,"CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]"
"KO:K03144","K03144",44,"TFIIH4, GTF2H4, TFB2; transcription initiation factor TFIIH subunit 4"
"KO:K03786","K03786",44,"aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]"
"KO:K04565","K04565",44,"SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]"
"KO:K06276","K06276",44,"PDPK1; 3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1]"
"KO:K10437","K10437",44,"PHAA, PHACA, CYP504A1; phenylacetate 2-hydroxylase [EC:1.14.14.54]"
"KO:K10601","K10601",44,"SYVN1, HRD1; E3 ubiquitin-protein ligase synoviolin [EC:2.3.2.27]"
"KO:K10773","K10773",44,"NTH; endonuclease III [EC:4.2.99.18]"
"KO:K11244","K11244",44,"WSC; cell wall integrity and stress response component"
"KO:K11518","K11518",44,"TOM40; mitochondrial import receptor subunit TOM40"
"KO:K11761","K11761",44,"NPL6, RSC7; chromatin structure-remodeling complex protein RSC7"
"KO:K12236","K12236",44,"NFX1; transcriptional repressor NF-X1"
"KO:K13342","K13342",44,"PEX5, PXR1; peroxin-5"
"KO:K14834","K14834",44,"NOC3; nucleolar complex protein 3"
"KO:K15316","K15316",44,"PKSA; noranthrone synthase [EC:2.3.1.221]"
"KO:K15508","K15508",44,"MRM2; 21S rRNA (uridine2791-2'-O)-methyltransferase [EC:2.1.1.168]"
"KO:K17361","K17361",44,"ACOT9; acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]"
"KO:K17800","K17800",44,"LETM1, MDM38; LETM1 and EF-hand domain-containing protein 1, mitochondrial"
"KO:K18584","K18584",44,"ACTR3, ARP3; actin-related protein 3"
"KO:K00275","K00275",43,"pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]"
"KO:K00521","K00521",43,"E1.16.1.7; ferric-chelate reductase [EC:1.16.1.7]"
"KO:K00545","K00545",43,"COMT; catechol O-methyltransferase [EC:2.1.1.6]"
"KO:K00611","K00611",43,"OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]"
"KO:K00846","K00846",43,"KHK; ketohexokinase [EC:2.7.1.3]"
"KO:K00968","K00968",43,"PCYT1; choline-phosphate cytidylyltransferase [EC:2.7.7.15]"
"KO:K00995","K00995",43,"pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]"
"KO:K01126","K01126",43,"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
"KO:K01175","K01175",43,"ybfF; esterase [EC:3.1.-.-]"
"KO:K01415","K01415",43,"ECE; endothelin-converting enzyme [EC:3.4.24.71]"
"KO:K01611","K01611",43,"speD, AMD1; S-adenosylmethionine decarboxylase [EC:4.1.1.50]"
"KO:K01641","K01641",43,"HMGCS; hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]"
"KO:K02214","K02214",43,"CDC7; cell division control protein 7 [EC:2.7.11.1]"
"KO:K03014","K03014",43,"RPABC2, RPB6, POLR2F; DNA-directed RNA polymerases I, II, and III subunit RPABC2"
"KO:K03036","K03036",43,"PSMD11, RPN6; 26S proteasome regulatory subunit N6"
"KO:K03386","K03386",43,"PRDX2_4, ahpC; peroxiredoxin 2/4 [EC:1.11.1.24]"
"KO:K06890","K06890",43,"K06890; uncharacterized protein"
"KO:K07195","K07195",43,"EXOC7, EXO70; exocyst complex component 7"
"KO:K08712","K08712",43,"SNQ2; ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2"
"KO:K09175","K09175",43,"RFXX; regulatory factor X, other"
"KO:K10256","K10256",43,"FAD2; omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.6 1.14.19.22]"
"KO:K10632","K10632",43,"BRAP; BRCA1-associated protein [EC:2.3.2.27]"
"KO:K10751","K10751",43,"CHAF1B; chromatin assembly factor 1 subunit B"
"KO:K10873","K10873",43,"RAD52; DNA repair and recombination protein RAD52"
"KO:K12844","K12844",43,"PRPF31; U4/U6 small nuclear ribonucleoprotein PRP31"
"KO:K13996","K13996",43,"EPS1; protein disulfide-isomerase [EC:5.3.4.1]"
"KO:K14767","K14767",43,"UTP3, SAS10; U3 small nucleolar RNA-associated protein 3"
"KO:K15075","K15075",43,"MET18, MMS19; DNA repair/transcription protein MET18/MMS19"
"KO:K16457","K16457",43,"CEP76; centrosomal protein CEP76"
"KO:K17475","K17475",43,"FTMC, CYP5076C; tryprostatin B 6-hydroxylase [EC:1.14.14.118]"
"KO:K17623","K17623",43,"PUDP, HDHD1; pseudouridine 5'-phosphatase [EC:3.1.3.96]"
"KO:K17732","K17732",43,"PMPCB, MAS1; mitochondrial-processing peptidase subunit beta [EC:3.4.24.64]"
"KO:K17917","K17917",43,"SNX1_2; sorting nexin-1/2"
"KO:K19030","K19030",43,"PFKFB4; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 4 [EC:2.7.1.105 3.1.3.46]"
"KO:K00077","K00077",42,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]"
"KO:K00121","K00121",42,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"KO:K00387","K00387",42,"SUOX; sulfite oxidase [EC:1.8.3.1]"
"KO:K01055","K01055",42,"pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]"
"KO:K01166","K01166",42,"RNASET2; ribonuclease T2 [EC:4.6.1.19]"
"KO:K01225","K01225",42,"CBH1; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]"
"KO:K01259","K01259",42,"pip; proline iminopeptidase [EC:3.4.11.5]"
"KO:K01792","K01792",42,"E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]"
"KO:K02433","K02433",42,"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
"KO:K02685","K02685",42,"PRI2; DNA primase large subunit"
"KO:K02868","K02868",42,"RP-L11e, RPL11; large subunit ribosomal protein L11e"
"KO:K03250","K03250",42,"EIF3E, INT6; translation initiation factor 3 subunit E"
"KO:K03514","K03514",42,"PAPD5_7, TRF4; non-canonical poly(A) RNA polymerase PAPD5/7 [EC:2.7.7.19]"
"KO:K03849","K03849",42,"ALG8; alpha-1,3-glucosyltransferase [EC:2.4.1.265]"
"KO:K05673","K05673",42,"ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
"KO:K05824","K05824",42,"LYS12; homoisocitrate dehydrogenase [EC:1.1.1.87]"
"KO:K08197","K08197",42,"ARN; MFS transporter, SIT family, siderophore-iron:H+ symporter"
"KO:K08486","K08486",42,"STX1B_2_3; syntaxin 1B/2/3"
"KO:K09613","K09613",42,"COPS5, CSN5; COP9 signalosome complex subunit 5 [EC:3.4.-.-]"
"KO:K09975","K09975",42,"K09975; uncharacterized protein"
"KO:K10277","K10277",42,"KDM8, JMJD5; [protein]-arginine 3-hydroxylase / protease [EC:1.14.11.73 3.4.-.-]"
"KO:K10775","K10775",42,"PAL; phenylalanine ammonia-lyase [EC:4.3.1.24]"
"KO:K11429","K11429",42,"SUV420H; [histone H4]-N-methyl-L-lysine20 N-methyltransferase [EC:2.1.1.362]"
"KO:K11578","K11578",42,"ZW10, DSL1; protein transport protein DSL1/ZW10"
"KO:K12843","K12843",42,"PRPF3, PRP3; U4/U6 small nuclear ribonucleoprotein PRP3"
"KO:K12846","K12846",42,"SNRNP27; U4/U6.U5 tri-snRNP-associated protein 3"
"KO:K13519","K13519",42,"LPT1, ALE1; lysophospholipid acyltransferase [EC:2.3.1.51 2.3.1.23 2.3.1.-]"
"KO:K14015","K14015",42,"NPLOC4, NPL4; nuclear protein localization protein 4"
"KO:K14319","K14319",42,"RANGAP1; Ran GTPase-activating protein 1"
"KO:K14546","K14546",42,"UTP5, WDR43; U3 small nucleolar RNA-associated protein 5"
"KO:K14778","K14778",42,"DDX49, DBP8; ATP-dependent RNA helicase DDX49/DBP8 [EC:3.6.4.13]"
"KO:K15376","K15376",42,"GPHN; gephyrin [EC:2.10.1.1 2.7.7.75]"
"KO:K17742","K17742",42,"SOU1; sorbose reductase [EC:1.1.1.289]"
"KO:K17878","K17878",42,"NNT1; EEF1A N-terminal glycine/lysine methyltransferase [EC:2.1.1.-]"
"KO:K18158","K18158",42,"NCA2; nuclear control of ATPase protein 2"
"KO:K18802","K18802",42,"DUG3; glutamine amidotransferase"
"KO:K19562","K19562",42,"BIO3-BIO1; bifunctional dethiobiotin synthetase / adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:6.3.3.3 2.6.1.62]"
"KO:K19703","K19703",42,"FA2H, SCS7; 4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase [EC:1.14.18.6]"
"KO:K00222","K00222",41,"TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]"
"KO:K00589","K00589",41,"MET1; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]"
"KO:K00768","K00768",41,"E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]"
"KO:K00898","K00898",41,"PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]"
"KO:K01507","K01507",41,"ppa; inorganic pyrophosphatase [EC:3.6.1.1]"
"KO:K01567","K01567",41,"pdaA; peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]"
"KO:K01735","K01735",41,"aroB; 3-dehydroquinate synthase [EC:4.2.3.4]"
"KO:K02155","K02155",41,"ATPeV0C, ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit"
"KO:K02377","K02377",41,"TSTA3, fcl; GDP-L-fucose synthase [EC:1.1.1.271]"
"KO:K03349","K03349",41,"APC2, ANAPC2; anaphase-promoting complex subunit 2"
"KO:K03458","K03458",41,"TC.NCS2; nucleobase:cation symporter-2, NCS2 family"
"KO:K03680","K03680",41,"EIF2B4; translation initiation factor eIF-2B subunit delta"
"KO:K07393","K07393",41,"ECM4, yqjG; glutathionyl-hydroquinone reductase [EC:1.8.5.7]"
"KO:K07750","K07750",41,"MESO1, ERG25; methylsterol monooxygenase [EC:1.14.18.9]"
"KO:K09121","K09121",41,"larC; pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"
"KO:K09228","K09228",41,"KRAB; KRAB domain-containing zinc finger protein"
"KO:K10686","K10686",41,"UBA3, UBE1C; NEDD8-activating enzyme E1 [EC:6.2.1.64]"
"KO:K10736","K10736",41,"MCM10; minichromosome maintenance protein 10"
"KO:K12436","K12436",41,"pks12; mycoketide-CoA synthase [EC:2.3.1.295]"
"KO:K12460","K12460",41,"KIDINS220, ARMS; ankyrin repeat-rich membrane spanning protein"
"KO:K12817","K12817",41,"PRPF18, PRP18; pre-mRNA-splicing factor 18"
"KO:K14675","K14675",41,"TGL3; TAG lipase / lysophosphatidylethanolamine acyltransferase [EC:3.1.1.3 2.3.1.-]"
"KO:K14679","K14679",41,"TRL1; tRNA ligase [EC:6.5.1.3]"
"KO:K14781","K14781",41,"DHR2; ATP-dependent RNA helicase DHR2 [EC:3.6.4.13]"
"KO:K14848","K14848",41,"RRB1, GRWD1; ribosome assembly protein RRB1"
"KO:K15178","K15178",41,"RTF1; RNA polymerase-associated protein RTF1"
"KO:K00254","K00254",40,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
"KO:K00801","K00801",40,"FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]"
"KO:K01001","K01001",40,"ALG7; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]"
"KO:K01057","K01057",40,"PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]"
"KO:K01235","K01235",40,"aguA; alpha-glucuronidase [EC:3.2.1.139]"
"KO:K01358","K01358",40,"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"KO:K01624","K01624",40,"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
"KO:K01692","K01692",40,"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
"KO:K02948","K02948",40,"RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
"KO:K02998","K02998",40,"RP-SAe, RPSA; small subunit ribosomal protein SAe"
"KO:K03030","K03030",40,"PSMD14, RPN11, POH1; 26S proteasome regulatory subunit N11"
"KO:K03145","K03145",40,"TFIIS; transcription elongation factor S-II"
"KO:K04708","K04708",40,"KDSR; 3-dehydrosphinganine reductase [EC:1.1.1.102]"
"KO:K05956","K05956",40,"RABGGTB; geranylgeranyl transferase type-2 subunit beta [EC:2.5.1.60]"
"KO:K06223","K06223",40,"dam; DNA adenine methylase [EC:2.1.1.72]"
"KO:K07152","K07152",40,"SCO1; protein SCO1"
"KO:K08334","K08334",40,"BECN, VPS30, ATG6; beclin"
"KO:K08341","K08341",40,"GABARAP, ATG8, LC3; GABA(A) receptor-associated protein"
"KO:K08798","K08798",40,"MARK; MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]"
"KO:K08963","K08963",40,"mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]"
"KO:K09140","K09140",40,"TSR3; pre-rRNA-processing protein TSR3"
"KO:K12351","K12351",40,"SMPD2; sphingomyelin phosphodiesterase 2 [EC:3.1.4.12]"
"KO:K12389","K12389",40,"BTS, CLN3; battenin"
"KO:K12617","K12617",40,"PATL1, PAT1; DNA topoisomerase 2-associated protein PAT1"
"KO:K13237","K13237",40,"DECR2, SPS19; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], peroxisomal [EC:1.3.1.124]"
"KO:K14437","K14437",40,"CHD7; chromodomain-helicase-DNA-binding protein 7 [EC:5.6.2.-]"
"KO:K14771","K14771",40,"NOC4, UTP19; U3 small nucleolar RNA-associated protein 19"
"KO:K14829","K14829",40,"IPI3; pre-rRNA-processing protein IPI3"
"KO:K15014","K15014",40,"SLC29A1_2_3, ENT1_2_3; solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3"
"KO:K15117","K15117",40,"SLC25A34_35, OAC1; solute carrier family 25, member 34/35"
"KO:K15389","K15389",40,"APDG; acyl-CoA dehydrogenase"
"KO:K15918","K15918",40,"GLYK; D-glycerate 3-kinase [EC:2.7.1.31]"
"KO:K17081","K17081",40,"PHB2; prohibitin 2"
"KO:K00278","K00278",39,"nadB; L-aspartate oxidase [EC:1.4.3.16]"
"KO:K00485","K00485",39,"FMO; dimethylaniline monooxygenase (N-oxide forming) / hypotaurine monooxygenase [EC:1.14.13.8 1.8.1.-]"
"KO:K01908","K01908",39,"ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]"
"KO:K03025","K03025",39,"RPC6, POLR3F; DNA-directed RNA polymerase III subunit RPC6"
"KO:K03027","K03027",39,"RPAC1, RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1"
"KO:K03236","K03236",39,"EIF1A; translation initiation factor 1A"
"KO:K03259","K03259",39,"EIF4E; translation initiation factor 4E"
"KO:K03929","K03929",39,"pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]"
"KO:K06173","K06173",39,"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]"
"KO:K06676","K06676",39,"BRRN1, BRN1, CAPH; condensin complex subunit 2"
"KO:K08284","K08284",39,"MID1; calcium channel MID1"
"KO:K08288","K08288",39,"PRKCSH; protein kinase C substrate 80K-H"
"KO:K11279","K11279",39,"NAP1L1, NRP; nucleosome assembly protein 1-like 1"
"KO:K11676","K11676",39,"IES2; Ino eighty subunit 2"
"KO:K12182","K12182",39,"HGS, HRS, VPS27; hepatocyte growth factor-regulated tyrosine kinase substrate"
"KO:K12864","K12864",39,"CTNNBL1; beta-catenin-like protein 1"
"KO:K13704","K13704",39,"ABHD12; abhydrolase domain-containing protein 12 [EC:3.1.1.23]"
"KO:K14347","K14347",39,"SLC10A7, P7; solute carrier family 10 (sodium/bile acid cotransporter), member 7"
"KO:K14568","K14568",39,"EMG1, NEP1; rRNA small subunit pseudouridine methyltransferase Nep1 [EC:2.1.1.260]"
"KO:K14763","K14763",39,"NAF1; H/ACA ribonucleoprotein complex non-core subunit NAF1"
"KO:K15116","K15116",39,"SLC25A33_36, RIM2; solute carrier family 25, member 33/36"
"KO:K15429","K15429",39,"TRM5, TRMT5; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]"
"KO:K17785","K17785",39,"IMMT, MIC60; MICOS complex subunit MIC60"
"KO:K18592","K18592",39,"GGT1_5, CD224; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]"
"KO:K00029","K00029",38,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
"KO:K00511","K00511",38,"SQLE, ERG1; squalene monooxygenase [EC:1.14.14.17]"
"KO:K00621","K00621",38,"GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]"
"KO:K00720","K00720",38,"UGCG; ceramide glucosyltransferase [EC:2.4.1.80]"
"KO:K00831","K00831",38,"serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]"
"KO:K00894","K00894",38,"ETNK, EKI; ethanolamine kinase [EC:2.7.1.82]"
"KO:K00938","K00938",38,"E2.7.4.2, mvaK2; phosphomevalonate kinase [EC:2.7.4.2]"
"KO:K01052","K01052",38,"LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]"
"KO:K01053","K01053",38,"gnl, RGN; gluconolactonase [EC:3.1.1.17]"
"KO:K01918","K01918",38,"panC; pantoate--beta-alanine ligase [EC:6.3.2.1]"
"KO:K02731","K02731",38,"PSMA7; 20S proteasome subunit alpha 4 [EC:3.4.25.1]"
"KO:K02930","K02930",38,"RP-L4e, RPL4; large subunit ribosomal protein L4e"
"KO:K02938","K02938",38,"RP-L8e, RPL8; large subunit ribosomal protein L8e"
"KO:K03363","K03363",38,"CDC20; cell division cycle 20, cofactor of APC complex"
"KO:K03439","K03439",38,"trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]"
"KO:K03593","K03593",38,"mrp, NUBPL; ATP-binding protein involved in chromosome partitioning"
"KO:K05989","K05989",38,"ramA; alpha-L-rhamnosidase [EC:3.2.1.40]"
"KO:K06044","K06044",38,"treY, glgY; (1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]"
"KO:K06961","K06961",38,"KRR1; ribosomal RNA assembly protein"
"KO:K07117","K07117",38,"K07117; uncharacterized protein"
"KO:K07511","K07511",38,"ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]"
"KO:K07937","K07937",38,"ARF1_2; ADP-ribosylation factor 1/2"
"KO:K09184","K09184",38,"GATAF; GATA-binding protein, other eukaryote"
"KO:K09518","K09518",38,"DNAJB12; DnaJ homolog subfamily B member 12"
"KO:K10276","K10276",38,"FBXL10_11, KDM2; F-box and leucine-rich repeat protein 10/11 [EC:1.14.11.27]"
"KO:K10967","K10967",38,"KTR1_3; alpha 1,2-mannosyltransferase [EC:2.4.1.-]"
"KO:K11159","K11159",38,"K11159; carotenoid cleavage oxygenase [EC:1.13.11.-]"
"KO:K11313","K11313",38,"SUPT3H, SPT3; transcription initiation protein SPT3"
"KO:K11484","K11484",38,"HOS3; histone deacetylase HOS3 [EC:3.5.1.98]"
"KO:K11756","K11756",38,"RSC1_2; chromatin structure-remodeling complex subunit RSC1/2"
"KO:K11883","K11883",38,"NOB1; RNA-binding protein NOB1"
"KO:K12609","K12609",38,"CAF120; CCR4-NOT transcriptional complex subunit CAF120"
"KO:K12878","K12878",38,"THOC1; THO complex subunit 1"
"KO:K13110","K13110",38,"MFAP1; microfibrillar-associated protein 1"
"KO:K14405","K14405",38,"FIP1L1, FIP1; pre-mRNA 3'-end-processing factor FIP1"
"KO:K14541","K14541",38,"DUR1; urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54]"
"KO:K14557","K14557",38,"UTP6; U3 small nucleolar RNA-associated protein 6"
"KO:K15156","K15156",38,"MED14, RGR1; mediator of RNA polymerase II transcription subunit 14"
"KO:K15163","K15163",38,"SRB8, MED12; mediator of RNA polymerase II transcription subunit 12, fungi type"
"KO:K15542","K15542",38,"PFS2; polyadenylation factor subunit 2"
"KO:K16794","K16794",38,"PAFAH1B1, LIS1; platelet-activating factor acetylhydrolase IB subunit alpha"
"KO:K17678","K17678",38,"MRH4; ATP-dependent RNA helicase MRH4, mitochondrial [EC:3.6.4.13]"
"KO:K00228","K00228",37,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
"KO:K00273","K00273",37,"DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]"
"KO:K00754","K00754",37,"bshA; L-malate glycosyltransferase [EC:2.4.1.-]"
"KO:K00817","K00817",37,"hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]"
"KO:K00987","K00987",37,"CEG1; mRNA guanylyltransferase [EC:2.7.7.50]"
"KO:K01011","K01011",37,"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]"
"KO:K01074","K01074",37,"PPT; palmitoyl-protein thioesterase [EC:3.1.2.22]"
"KO:K01740","K01740",37,"metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]"
"KO:K01834","K01834",37,"PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"KO:K02148","K02148",37,"ATPeV1C, ATP6C; V-type H+-transporting ATPase subunit C"
"KO:K03141","K03141",37,"TFIIH1, GTF2H1, TFB1; transcription initiation factor TFIIH subunit 1"
"KO:K03239","K03239",37,"EIF2B1; translation initiation factor eIF-2B subunit alpha"
"KO:K03544","K03544",37,"clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX"
"KO:K03687","K03687",37,"GRPE; molecular chaperone GrpE"
"KO:K03844","K03844",37,"ALG11; alpha-1,2-mannosyltransferase [EC:2.4.1.131]"
"KO:K04618","K04618",37,"GAOA; galactose oxidase [EC:1.1.3.9]"
"KO:K05284","K05284",37,"PIGM; GPI mannosyltransferase 1 subunit M [EC:2.4.1.-]"
"KO:K06927","K06927",37,"DPH6; diphthine-ammonia ligase [EC:6.3.1.14]"
"KO:K08272","K08272",37,"CAB39, MO25; calcium binding protein 39"
"KO:K08793","K08793",37,"STK32, YANK; serine/threonine kinase 32 [EC:2.7.11.1]"
"KO:K09554","K09554",37,"CDC37; cell division cycle protein 37"
"KO:K11090","K11090",37,"LA, SSB; lupus La protein"
"KO:K11322","K11322",37,"EPC; enhancer of polycomb-like protein"
"KO:K11675","K11675",37,"IES1; Ino eighty subunit 1"
"KO:K11763","K11763",37,"RSC9; chromatin structure-remodeling complex subunit RSC9"
"KO:K12606","K12606",37,"RCD1, CNOT9, CAF40; CCR4-NOT transcription complex subunit 9"
"KO:K12829","K12829",37,"SF3B2, SAP145, CUS1; splicing factor 3B subunit 2"
"KO:K13127","K13127",37,"RNF113A, CWC24; RING finger protein 113A"
"KO:K14797","K14797",37,"ENP1, BYSL; essential nuclear protein 1"
"KO:K14859","K14859",37,"SSF1_2; ribosome biogenesis protein SSF1/2"
"KO:K15444","K15444",37,"TRM9; tRNA (uracil-5-)-methyltransferase TRM9 [EC:2.1.1.229]"
"KO:K15634","K15634",37,"gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"KO:K16075","K16075",37,"MRS2, MFM1; magnesium transporter"
"KO:K16578","K16578",37,"CLASP1_2; CLIP-associating protein 1/2"
"KO:K17570","K17570",37,"HYDIN; hydrocephalus-inducing protein"
"KO:K18097","K18097",37,"GCY1; glycerol 2-dehydrogenase (NADP+) [EC:1.1.1.156]"
"KO:K18328","K18328",37,"DBR1; lariat debranching enzyme [EC:3.1.-.-]"
"KO:K18422","K18422",37,"MOV10; helicase MOV-10 [EC:3.6.4.13]"
"KO:K00004","K00004",36,"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
"KO:K00107","K00107",36,"ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]"
"KO:K00666","K00666",36,"K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]"
"KO:K00856","K00856",36,"ADK, adoK; adenosine kinase [EC:2.7.1.20]"
"KO:K00869","K00869",36,"MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]"
"KO:K00931","K00931",36,"proB; glutamate 5-kinase [EC:2.7.2.11]"
"KO:K03108","K03108",36,"SRP72; signal recognition particle subunit SRP72"
"KO:K03190","K03190",36,"ureD, ureH; urease accessory protein"
"KO:K03241","K03241",36,"EIF2B3; translation initiation factor eIF-2B subunit gamma"
"KO:K03247","K03247",36,"EIF3H; translation initiation factor 3 subunit H"
"KO:K03509","K03509",36,"POLH; DNA polymerase eta [EC:2.7.7.7]"
"KO:K03848","K03848",36,"ALG6; alpha-1,3-glucosyltransferase [EC:2.4.1.267]"
"KO:K04441","K04441",36,"P38; p38 MAP kinase [EC:2.7.11.24]"
"KO:K04532","K04532",36,"NAE1, APPBP1; NEDD8-activating enzyme E1 regulatory subunit"
"KO:K04564","K04564",36,"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
"KO:K04711","K04711",36,"ACER3, YDC1; dihydroceramidase [EC:3.5.1.-]"
"KO:K04718","K04718",36,"SPHK; sphingosine kinase [EC:2.7.1.91]"
"KO:K04794","K04794",36,"PTH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]"
"KO:K05610","K05610",36,"UCHL5, UCH37; ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]"
"KO:K05757","K05757",36,"ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B"
"KO:K06045","K06045",36,"shc; squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]"
"KO:K06316","K06316",36,"RFT1; oligosaccharide translocation protein RFT1"
"KO:K07106","K07106",36,"murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]"
"KO:K07442","K07442",36,"TRM61, GCD14; tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]"
"KO:K07975","K07975",36,"K07975; Rho family, other"
"KO:K08086","K08086",36,"fimV; pilus assembly protein FimV"
"KO:K10438","K10438",36,"PHACB, CYP504B1; 3-hydroxyphenylacetate 6-hydroxylase [EC:1.14.13.63]"
"KO:K11227","K11227",36,"PBS2; mitogen-activated protein kinase kinase [EC:2.7.12.2]"
"KO:K12816","K12816",36,"CDC40, PRP17; pre-mRNA-processing factor 17"
